id,name,address,city,state,zip_code,phone,website,latitude,longitude,clinic_type,google_place_id,google_rating,google_review_count,yelp_business_id,yelp_rating,yelp_review_count,is_active,last_updated,created_at,combined_rating,total_review_count,data_source
11,Northwestern Medicine Lavin Family Pavilion,259 E Erie St,Chicago,IL,60611,+13129266000,https://www.yelp.com/biz/northwestern-medicine-lavin-family-pavilion-chicago-3?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.893880080994,-87.62066103601,primary_care,,,,brZ5Mh0CLVAfHAXm_CYH6A,3.6,5,1,2026-01-09 05:49:53.034514,2025-12-25 02:14:20.708807,3.6,5,Yelp Only
12,Midwest Express Clinic,779 W Adams St,Chicago,IL,60661,+13123828308,https://www.yelp.com/biz/midwest-express-clinic-chicago-3?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.879086,-87.64704,urgent_care,,,,Js2jFMf7LBYLMhuh1RQMRA,1.7,38,1,2026-01-09 05:49:24.053660,2025-12-25 02:14:22.092375,1.7,38,Yelp Only
13,Raby Institute for Integrative Medicine,500 N Michigan Ave,Chicago,IL,60611,+13122761212,https://www.yelp.com/biz/raby-institute-for-integrative-medicine-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.891166,-87.624702,primary_care,,,,lnSRABXKLZPnsVPim6rKKg,3.6,199,1,2026-01-09 05:49:42.130064,2025-12-25 02:14:23.475090,3.6,199,Yelp Only
14,One Medical Primary Care Clinic - River North,415 N Lasalle Dr,Chicago,IL,60654,+18338235560,https://www.yelp.com/biz/one-medical-river-north-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88990372018339,-87.63213309999999,primary_care,,,,Ky-TsBrxySAcfb5pTTQ1Lg,3.9,8,1,2026-01-09 05:49:39.391862,2025-12-25 02:14:24.868015,3.9,8,Yelp Only
15,Forward,200 N Michigan Ave,Chicago,IL,60601,+13128746071,https://www.yelp.com/biz/forward-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88620105301796,-87.62497395020719,primary_care,,,,QUmiMNF-BEElQDIonz3RiA,3.0,21,1,2026-01-09 05:49:49.055183,2025-12-25 02:14:26.324529,3.0,21,Yelp Only
16,Minute Clinic,137 S Clark St,Chicago,IL,60603,,https://www.yelp.com/biz/minute-clinic-chicago-4?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8795288176677,-87.6306090392514,primary_care,,,,ssusDnlqPYBZfTk13w9cXA,4.0,1,1,2026-01-09 05:49:26.885489,2025-12-25 02:14:27.754954,4.0,1,Yelp Only
17,Lakeside Clinic,211 E Ontario,Chicago,IL,60611,,https://www.yelp.com/biz/lakeside-clinic-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8932343,-87.6219788,primary_care,,,,Huc1_R1KNhP02Jw9Jdscew,5.0,1,1,2026-01-09 05:49:47.679981,2025-12-25 02:14:29.147422,5.0,1,Yelp Only
18,Midwest Express Clinic,219 W Chicago Ave,Chicago,IL,60654,+13128781945,https://www.yelp.com/biz/midwest-express-clinic-chicago-4?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.896344,-87.635071,urgent_care,,,,85jEyual8ILAQhk6qwdeUQ,2.4,51,1,2026-01-09 05:49:29.635368,2025-12-25 02:14:30.554791,2.4,51,Yelp Only
19,"Veena Korah, MD",,Chicago,IL,60602,,https://www.yelp.com/biz/veena-korah-md-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.883085,-87.629121,primary_care,,,,97Y4fyDepEQsY31qKLKIXw,1.0,1,1,2026-01-09 05:49:46.250952,2025-12-25 02:14:31.937272,1.0,1,Yelp Only
20,Aligned Modern Health,338 E Ohio St,Chicago,IL,60611,+17732506464,https://www.yelp.com/biz/aligned-modern-health-chicago-20?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8926268,-87.6192751,,,,,RYs4yVYUwxq1PrTOa5BS9g,4.4,44,1,2026-01-09 05:49:44.890723,2025-12-25 02:14:33.317303,4.4,44,Yelp Only
21,One Medical Primary Care Clinic - The Loop,230 W Monroe St,Chicago,IL,60606,+18338235560,https://www.yelp.com/biz/one-medical-chicago-8?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88107668796214,-87.63487080000014,primary_care,,,,teQUeusTJZGLiekbpYfX-g,4.0,86,1,2026-01-09 05:49:32.494196,2025-12-25 02:14:34.695429,4.0,86,Yelp Only
22,Ketamine Centers of Chicago,712 N Dearborn St,Chicago,IL,60654,+18449486337,https://www.yelp.com/biz/ketamine-centers-of-chicago-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.89538,-87.6300399,primary_care,,,,35Vrdks0_zWlmU9O9ZgFsg,3.4,5,1,2026-01-09 05:49:55.807035,2025-12-25 02:14:36.098329,3.4,5,Yelp Only
23,ImagineMD,10 S Riverside Plz,Chicago,IL,60606,+13123745860,https://www.yelp.com/biz/imaginemd-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88165,-87.6388749,primary_care,,,,QSCfp8kzwUYxPywQhd4hpA,5.0,10,1,2026-01-09 05:49:36.626701,2025-12-25 02:14:38.744381,5.0,10,Yelp Only
24,Meticulous Massage,307 N Michigan Ave,Chicago,IL,60601,+17732178396,https://www.yelp.com/biz/meticulous-massage-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8871,-87.62421,,,,,pRWoFXnlTtvwoHc-Ufybdg,4.8,24,1,2026-01-09 05:47:27.922911,2025-12-25 02:14:40.136168,4.8,24,Yelp Only
25,Advocate Clinic at Walgreens,151 N State St,Chicago,IL,60601,+18003238622,https://www.yelp.com/biz/advocate-clinic-at-walgreens-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.884877,-87.627467,urgent_care,,,,AEdjopeLV6DZq8UlhzUJwg,1.0,1,1,2026-01-09 05:49:54.384937,2025-12-25 02:14:41.506417,1.0,1,Yelp Only
26,Physicians Immediate Care,600 W Adams St,Chicago,IL,60661,+13125060900,https://www.yelp.com/biz/physicians-immediate-care-west-loop-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8794163,-87.6428229,urgent_care,,,,zMIN-8iHNdoTExMsEetlxQ,3.2,227,1,2026-01-09 05:49:38.014599,2025-12-25 02:14:42.898391,3.2,227,Yelp Only
27,Passport Health Chicago - River North Vaccine Clinic,730 N Franklin St,Chicago,IL,60654,+18722310518,https://www.yelp.com/biz/passport-health-river-north-travel-clinic-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.89584,-87.63603,primary_care,,,,PNYLz167uKJbu1TkmJtkkA,4.0,19,1,2026-01-09 05:50:00.025121,2025-12-25 02:14:44.284822,4.0,19,Yelp Only
28,Deeper Connections Counseling,111 N Wabash Ave,Chicago,IL,60602,+13129716500,https://www.yelp.com/biz/deeper-connections-counseling-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88352,-87.62589,,,,,RruRRsW_27TedFF4XnBrzw,5.0,6,1,2026-01-09 05:48:18.491787,2025-12-25 02:14:45.669592,5.0,6,Yelp Only
29,Northwestern Medicine Primary and Specialty Care,259 E Erie St,Chicago,IL,60611,+13129266000,https://www.yelp.com/biz/northwestern-medicine-primary-and-specialty-care-chicago-4?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.89369130000001,-87.620953,primary_care,,,,Hmef--aYz_Ln5ZexFGrtFw,3.0,11,1,2026-01-09 05:50:11.346011,2025-12-25 02:14:47.063744,3.0,11,Yelp Only
30,Plastic Surgery Clinic of Chicago,737 N Michigan Ave,Chicago,IL,60611,+13128195338,https://www.yelp.com/biz/plastic-surgery-clinic-of-chicago-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8959995,-87.6238055,,,,,Jzv1uFGzv6S0kmSpdhJpDw,4.6,9,1,2026-01-09 05:50:18.147884,2025-12-25 02:14:48.423366,4.6,9,Yelp Only
31,Chicago Nasal & Sinus Center,111 W Washington St,Chicago,IL,60602,+13123729355,https://www.yelp.com/biz/chicago-nasal-and-sinus-center-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.883003590461456,-87.63169400189727,primary_care,,,,ZNlHypbOwdB0lM3kW2M-Qw,4.3,82,1,2026-01-09 05:49:35.279280,2025-12-25 02:14:49.805999,4.3,82,Yelp Only
32,Boston Medical Group,30 N Michigan Ave,Chicago,IL,60602,+18666789169,https://www.yelp.com/biz/boston-medical-group-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8829571,-87.6247939,primary_care,,,,_wlF11q12wAYaGFdVzvlbw,1.0,4,1,2026-01-09 05:50:02.791299,2025-12-25 02:14:51.310705,1.0,4,Yelp Only
33,Mobile IV Medics - Chicago,,Chicago,IL,60603,+18334837477,https://www.yelp.com/biz/mobile-iv-medics-chicago-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88089,-87.62127,,,,,6IVKAZMVj6JJjhoWwoIoVg,5.0,3,1,2026-01-09 05:49:43.494400,2025-12-25 02:14:52.668530,5.0,3,Yelp Only
34,Hobson Institute,30 N Michigan Ave,Chicago,IL,60602,+13129869833,https://www.yelp.com/biz/hobson-institute-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8829547,-87.6247085,pediatric,,,,7R2-weeGDZWt07ODmFZVTg,5.0,12,1,2026-01-09 05:50:10.011202,2025-12-25 02:14:54.101554,5.0,12,Yelp Only
35,Clarity TMS Chicago,333 N Michigan Ave,Chicago,IL,60601,+18722778882,https://www.yelp.com/biz/clarity-tms-chicago-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88784577599748,-87.62427314865276,,,,,5csx1SPTOx6-wb_pROyxaw,4.3,12,1,2026-01-09 05:47:34.844006,2025-12-25 02:14:55.878297,4.3,12,Yelp Only
36,"Bradley R Sabin,MD",200 S Michigan Ave,Chicago,IL,60604,+13129223815,https://www.yelp.com/biz/bradley-r-sabin-md-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.879345,-87.6249224,primary_care,,,,UjN2TyfuIaEG7uF8iN2kVg,4.9,19,1,2026-01-09 05:49:33.841022,2025-12-25 02:14:57.287031,4.9,19,Yelp Only
37,Weissbluth Pediatrics,737 N Michigan Ave,Chicago,IL,60611,+13122020300,https://www.yelp.com/biz/weissbluth-pediatrics-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.896073,-87.623583,pediatric,,,,I2pJJ0Hgir0FnfjcVYesUg,4.2,139,1,2026-01-09 05:47:43.184233,2025-12-25 02:14:58.696113,4.2,139,Yelp Only
38,"Alan F Bain, DO - Chicago Health & Wellness Alliance",8 S Michigan Ave,Chicago,IL,60603,+13122367010,https://www.yelp.com/biz/alan-f-bain-do-chicago-health-and-wellness-alliance-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.881983,-87.62473,primary_care,,,,S4oulDgpF0D3EeNiTyvsew,3.9,44,1,2026-01-09 05:50:04.211926,2025-12-25 02:15:00.139323,3.9,44,Yelp Only
39,Planned Parenthood - Loop Health Center,18 S Michigan Ave,Chicago,IL,60603,+18772007745,https://www.yelp.com/biz/planned-parenthood-loop-health-center-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.881451,-87.624889,,,,,VVuw6BnXEbn5RkIA3U0o-g,2.9,49,1,2026-01-09 05:50:01.368674,2025-12-25 02:15:01.493833,2.9,49,Yelp Only
40,Source Healing,650 N Dearborn St,Chicago,IL,60654,+13123359330,https://www.yelp.com/biz/source-healing-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.893883,-87.629902,,,,,miRJvprsOrC0jnPpB4JyPQ,4.9,27,1,2026-01-09 05:47:52.891425,2025-12-25 02:15:02.968181,4.9,27,Yelp Only
41,Men's Health Chicago,10 S Lasalle St,Chicago,IL,60603,+13129209700,https://www.yelp.com/biz/mens-health-chicago-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.881716,-87.632776,specialty,,,,mtaWQBa4cUTGB07x5MpO1Q,4.4,19,1,2026-01-09 05:49:40.783124,2025-12-25 02:15:04.393558,4.4,19,Yelp Only
42,Concentric Counseling & Consulting,30 N Michigan Ave,Chicago,IL,60602,+13127253093,https://www.yelp.com/biz/concentric-counseling-and-consulting-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.882984161377,-87.6249771118164,,,,,z5XimVSztIXZbc7Hjv8CSg,5.0,3,1,2026-01-09 05:50:08.618587,2025-12-25 02:15:05.756654,5.0,3,Yelp Only
43,Eating Recovery Center - Chicago,333 N Michigan Ave,Chicago,IL,60601,+13125409955,https://www.yelp.com/biz/eating-recovery-center-chicago-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8876748,-87.6242297,primary_care,,,,XJNIvlg4dno_b_TxmgJa4A,1.6,7,1,2026-01-09 05:48:26.889662,2025-12-25 02:15:07.133230,1.6,7,Yelp Only
44,InnerVoice Psychotherapy & Consultation,180 N Michigan Ave,Chicago,IL,60601,+13126201420,https://www.yelp.com/biz/innervoice-psychotherapy-and-consultation-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.885589,-87.624798,,,,,UuimJ05DYQfwMi-FMCILnw,5.0,4,1,2025-12-27 01:08:56.459710,2025-12-25 02:15:08.555978,5.0,4,Yelp Only
45,American Medical Association,330 N Wabash Ave,Chicago,IL,60611,+18006218335,https://www.yelp.com/biz/american-medical-association-chicago-3?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8885745108128,-87.6272099465132,primary_care,,,,R8vWAcPANcvFegPecGlmxA,1.0,2,1,2026-01-09 05:48:00.512243,2025-12-25 02:15:09.981208,1.0,2,Yelp Only
46,IVme Wellness + Aesthetics,346 N State St,Chicago,IL,60654,+13127636547,https://www.yelp.com/biz/ivme-wellness-aesthetics-chicago-3?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88873481567208,-87.6284153,,,,,Kn2Jtmf3mlsbWAd8WzsOQg,4.7,60,1,2026-01-09 05:47:54.524414,2025-12-25 02:15:11.364505,4.7,60,Yelp Only
47,Michigan Avenue Podiatry,30 N Michigan Ave,Chicago,IL,60602,+13127010770,https://www.yelp.com/biz/michigan-avenue-podiatry-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.882988,-87.624985,,,,,2OLnti48LCxTPbwTW2l3JQ,3.9,82,1,2026-01-09 05:50:15.348873,2025-12-25 02:15:12.758651,3.9,82,Yelp Only
48,Loop Spine & Sports Center,30 N Michigan Ave,Chicago,IL,60602,+13124220042,https://www.yelp.com/biz/loop-spine-and-sports-center-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88304075128254,-87.62488555730963,,,,,Tu5SYSboTLF9I-1H_uZHkg,5.0,5,1,2026-01-09 05:50:16.755763,2025-12-25 02:15:14.194701,5.0,5,Yelp Only
49,Mercy Medical / Mercy Works at Dearborn Station,47 W Polk St,Chicago,IL,60605,+13125676700,https://www.yelp.com/biz/mercy-medical-mercy-works-at-dearborn-station-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.87173,-87.62909,urgent_care,,,,RiQfs8W707QyJikEw6f7Gg,2.3,59,1,2026-01-09 05:49:58.625110,2025-12-25 02:15:15.610674,2.3,59,Yelp Only
50,UIC Clinic Building,"1801 W Taylor St, Chicago, IL 60612, USA",,,,(866) 600-2273,http://hospital.uillinois.edu/,41.8690175,-87.6718209,,ChIJkbi4AhEtDogRUPRqo6aOyOg,2.6,28,,,,1,2026-01-09 05:51:30.752931,2025-12-25 02:25:17.788576,2.6,28,Google Only
51,Midwest Express Clinic Urgent Care,"219 W Chicago Ave, Chicago, IL 60654, USA",,,,(312) 878-1945,https://midwestexpressclinic.com/locations/river-north-chicago-il-urgent-care/,41.8964729,-87.6350393,,ChIJH6xCPEvTD4gRWooKEO9N-kk,4.7,1293,,,,1,2026-01-09 05:51:34.015056,2025-12-25 02:25:18.952152,4.7,1293,Google Only
52,One Medical Primary Care Clinic - Lincoln Park,"1931 N Halsted St, Chicago, IL 60614, USA",,,,(888) 663-6331,https://onemedical.com/locations/chi/lincolnpark?y_source=1_MTA1Mzk0OTMzNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,41.917144,-87.64824,,ChIJ_ZoTJxjTD4gRyBqWKvFD97s,4.6,66,,,,1,2026-01-09 05:51:31.833857,2025-12-25 02:25:20.123450,4.6,66,Google Only
53,Aayu Clinics,"1601 W Division St, Chicago, IL 60622, USA",,,,(773) 227-3669,https://aayuclinics.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=aayu+clinics+wicker+park&utm_content=website+button,41.9031704,-87.6677157,,ChIJ-dWC1tHSD4gROQgRpoyPSn0,4.3,659,,,,1,2026-01-09 05:51:36.188710,2025-12-25 02:25:21.276698,4.3,659,Google Only
54,One Medical Primary Care Clinic - River North,"415 N La Salle Dr Suite 100, Chicago, IL 60654, USA",,,,(888) 663-6331,https://onemedical.com/locations/chi/rivernorth?y_source=1_MTA1Mzk0OTM1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,41.8898119,-87.63213309999999,,ChIJX2rEQrEsDogRA3tr9lUKDrA,4.4,44,,,,1,2026-01-09 05:51:35.100189,2025-12-25 02:25:22.414817,4.4,44,Google Only
